scan:1	SNR:24.5614	Cov:0.608696
scan:2	SNR:8.07018	Cov:0.71875
scan:3	SNR:6.47482	Cov:0.160714
scan:4	SNR:16.8919	Cov:0.657895
scan:5	SNR:25.3333	Cov:0.633333
scan:6	SNR:9.09091	Cov:0.365385
scan:7	SNR:12.069	Cov:0.4375
scan:8	SNR:6.51341	Cov:0.708333
scan:9	SNR:6.19469	Cov:0.291667
scan:10	SNR:6.46766	Cov:0.270833
scan:11	SNR:9.63303	Cov:0.7
scan:12	SNR:9.44882	Cov:0.666667
scan:13	SNR:7.22892	Cov:0.375
scan:14	SNR:7.34266	Cov:0.4375
scan:15	SNR:6.95364	Cov:0.403846
scan:16	SNR:13.9073	Cov:0.3
scan:17	SNR:16.5049	Cov:0.293103
scan:18	SNR:7.65766	Cov:0.566667
scan:19	SNR:7.02479	Cov:0.369565
scan:20	SNR:9.58904	Cov:0.636364
scan:21	SNR:7.54717	Cov:0.714286
scan:22	SNR:9.09091	Cov:0.75
scan:23	SNR:4.16667	Cov:0.230769
scan:24	SNR:7.8341	Cov:0.607143
scan:25	SNR:12.2807	Cov:0.75
scan:26	SNR:6.35593	Cov:0.241935
scan:27	SNR:10	Cov:0.296875
scan:28	SNR:11.9816	Cov:0.433333
scan:29	SNR:9.30233	Cov:0.380952
scan:30	SNR:5.4902	Cov:0.304348
scan:31	SNR:10.2041	Cov:0.694444
scan:32	SNR:8.22511	Cov:0.271429
scan:33	SNR:4.19753	Cov:0.404762
scan:34	SNR:4.95868	Cov:0.666667
scan:35	SNR:5.06757	Cov:0.576923
scan:36	SNR:7.63889	Cov:0.196429
scan:37	SNR:7.5	Cov:0.24
scan:38	SNR:6.99708	Cov:0.705882
scan:39	SNR:8.69565	Cov:0.647059
scan:40	SNR:16.2651	Cov:0.75
scan:41	SNR:15.942	Cov:0.166667
scan:42	SNR:5.08475	Cov:0.109756
scan:43	SNR:5.34351	Cov:0.5
scan:44	SNR:6.0241	Cov:0.46875
scan:45	SNR:4.62963	Cov:0.208333
scan:46	SNR:5.41516	Cov:0.9375
scan:47	SNR:6.48464	Cov:0.730769
scan:48	SNR:5.21739	Cov:0.428571
scan:49	SNR:9.16031	Cov:0.521739
scan:50	SNR:4.62428	Cov:0.222222
scan:51	SNR:4.13793	Cov:0.6
scan:52	SNR:7.26257	Cov:0.240741
scan:53	SNR:10.6742	Cov:0.791667
scan:54	SNR:13.5417	Cov:0.65
scan:55	SNR:11.5702	Cov:0.21875
scan:56	SNR:4.57831	Cov:0.452381
scan:57	SNR:9.2233	Cov:0.678571
scan:58	SNR:7.65027	Cov:0.636364
scan:59	SNR:5.9375	Cov:0.475
scan:60	SNR:4.55927	Cov:0.326087
scan:61	SNR:5.72687	Cov:0.722222
scan:62	SNR:8.78049	Cov:0.321429
scan:63	SNR:4.6595	Cov:0.232143
scan:64	SNR:8.55263	Cov:0.185714
scan:65	SNR:6.07595	Cov:0.521739
scan:66	SNR:4.24242	Cov:0.166667
scan:67	SNR:8.82353	Cov:0.5
scan:68	SNR:5.99078	Cov:0.240741
scan:69	SNR:6.11111	Cov:0.458333
scan:70	SNR:9.74026	Cov:0.25
scan:71	SNR:14.4737	Cov:0.611111
scan:72	SNR:6.66667	Cov:0.5
scan:73	SNR:10.687	Cov:0.184211
scan:74	SNR:6.11111	Cov:0.34375
scan:75	SNR:11.2195	Cov:0.766667
