scan:1	SNR:28.2051	Cov:0.203704
scan:2	SNR:7.09677	Cov:0.52381
scan:3	SNR:9.76562	Cov:0.735294
scan:4	SNR:4.11765	Cov:0.636364
scan:5	SNR:8.26772	Cov:0.4375
scan:6	SNR:5.18518	Cov:0.538462
scan:7	SNR:12.5984	Cov:0.8
scan:8	SNR:6.4	Cov:0.75
scan:9	SNR:6.08108	Cov:0.818182
scan:10	SNR:12.0879	Cov:0.733333
scan:11	SNR:5.59441	Cov:0.363636
scan:12	SNR:5.10949	Cov:0.75
scan:13	SNR:7.86517	Cov:0.75
scan:14	SNR:6.69856	Cov:0.608696
scan:15	SNR:7.30769	Cov:0.730769
scan:16	SNR:3.15534	Cov:0.282609
scan:17	SNR:5.95611	Cov:0.863636
scan:18	SNR:8.42912	Cov:0.785714
scan:19	SNR:10.917	Cov:0.657895
scan:20	SNR:10.0437	Cov:0.348485
scan:21	SNR:3.93701	Cov:0.277778
scan:22	SNR:7.97101	Cov:0.785714
scan:23	SNR:14.9425	Cov:0.590909
scan:24	SNR:6.81004	Cov:0.863636
scan:25	SNR:30	Cov:0.5
scan:26	SNR:10.9375	Cov:0.875
scan:27	SNR:6.94444	Cov:1
scan:28	SNR:24.7191	Cov:0.5
scan:29	SNR:6.01719	Cov:0.5
scan:30	SNR:5.0193	Cov:0.216667
scan:31	SNR:3.31126	Cov:0.394737
scan:32	SNR:4.84848	Cov:0.5
scan:33	SNR:9.4697	Cov:0.833333
scan:34	SNR:8.94942	Cov:0.479167
scan:35	SNR:5.03356	Cov:0.441176
scan:36	SNR:18.5714	Cov:0.224138
scan:37	SNR:5.94796	Cov:0.347826
scan:38	SNR:7.26744	Cov:0.520833
scan:39	SNR:10.1818	Cov:0.823529
scan:40	SNR:8.53659	Cov:0.875
scan:41	SNR:7.14286	Cov:1.05
scan:42	SNR:5.04386	Cov:0.884615
scan:43	SNR:8.72483	Cov:0.8125
scan:44	SNR:4.1769	Cov:0.85
scan:45	SNR:10.6918	Cov:0.708333
scan:46	SNR:13.3333	Cov:0.454545
scan:47	SNR:5.46875	Cov:0.241379
