scan:1	SNR:7.48899	Cov:0.85
scan:2	SNR:4.39122	Cov:0.478261
scan:3	SNR:15.4255	Cov:0.630435
scan:4	SNR:6.15385	Cov:0.714286
scan:5	SNR:5.11628	Cov:0.458333
scan:6	SNR:3.125	Cov:0.309524
scan:7	SNR:4.05797	Cov:0.777778
scan:8	SNR:4.23729	Cov:0.357143
scan:9	SNR:6.05096	Cov:0.633333
scan:10	SNR:4.54545	Cov:0.40625
scan:11	SNR:5.46218	Cov:0.270833
scan:12	SNR:6.13718	Cov:0.708333
scan:13	SNR:8.33333	Cov:0.958333
scan:14	SNR:6.01852	Cov:0.270833
scan:15	SNR:5.79268	Cov:0.95
scan:16	SNR:15.2941	Cov:0.180556
scan:17	SNR:11.6732	Cov:1.66667
scan:18	SNR:9.90991	Cov:0.333333
scan:19	SNR:8.25688	Cov:0.710526
scan:20	SNR:11.4286	Cov:0.47619
scan:21	SNR:9.72222	Cov:0.7
scan:22	SNR:3.9501	Cov:0.452381
scan:23	SNR:5.22088	Cov:0.65
scan:24	SNR:5.97015	Cov:0.625
scan:25	SNR:4.94845	Cov:0.545455
scan:26	SNR:7.46753	Cov:1.4375
scan:27	SNR:8.29493	Cov:0.692308
scan:28	SNR:7.55556	Cov:0.708333
scan:29	SNR:4.08719	Cov:0.576923
scan:30	SNR:10.7981	Cov:0.676471
scan:31	SNR:11.6505	Cov:0.631579
scan:32	SNR:6.46766	Cov:0.185714
scan:33	SNR:9.38776	Cov:0.46
scan:34	SNR:7.11744	Cov:0.3125
scan:35	SNR:25	Cov:0.428571
scan:36	SNR:8.10811	Cov:0.807692
scan:37	SNR:6.73759	Cov:0.633333
scan:38	SNR:4.21941	Cov:0.37037
scan:39	SNR:6.51341	Cov:0.944444
scan:40	SNR:6.30915	Cov:0.5
scan:41	SNR:22.449	Cov:0.44
scan:42	SNR:7.56972	Cov:1.1875
scan:43	SNR:7.45342	Cov:0.571429
scan:44	SNR:8.78378	Cov:0.40625
scan:45	SNR:6.1828	Cov:0.821429
scan:46	SNR:3.45821	Cov:0.166667
scan:47	SNR:9.17431	Cov:0.185185
scan:48	SNR:11.7391	Cov:0.435484
scan:49	SNR:4.09091	Cov:0.225
scan:50	SNR:8.94942	Cov:0.605263
scan:51	SNR:3.96825	Cov:0.375
scan:52	SNR:16.0494	Cov:0.180556
scan:53	SNR:7.69231	Cov:0.818182
scan:54	SNR:7.52351	Cov:0.8
